ticket_nro,fecha_hora,dni_cliente,sucursal,empleado_id,metodo_pago_id,canal_venta,total_venta,campania_id
109,2024-01-20 08:44:00,20371898,Shopping,7,2,Presencial,33144.89,
110,2024-11-04 04:09:00,16100827,Shopping,7,2,Presencial,32320.56,
111,2025-05-26 20:22:00,43250363,Tienda Online,9,1,Web,66269.81,
112,2025-03-02 06:23:00,17318490,Norte,4,1,Presencial,174085.31,
113,2025-10-05 03:32:00,36669833,Tienda Online,10,5,Web,66501.35,
114,2025-05-05 21:33:00,10524999,Norte,4,2,Presencial,132287.88,
115,2025-06-11 13:35:00,17019579,Shopping,7,4,Presencial,100499.3,5
116,2025-01-30 11:34:00,38701583,Tienda Online,10,4,Web,170870.05,
117,2024-03-22 11:11:00,16744926,Shopping,7,3,Presencial,65822.86,
118,2024-12-27 20:59:00,39677512,Tienda Online,9,3,Web,28716.74,
119,2025-01-07 17:30:00,30301581,Shopping,7,1,Presencial,32320.56,
120,2025-10-22 12:30:00,44759556,Tienda Online,9,4,Web,161328.39,
121,2024-09-12 03:52:00,25293994,Norte,5,2,Presencial,33823.38,
122,2025-04-01 07:19:00,19179099,Tienda Online,10,3,Web,59940.83,
123,2025-11-29 10:54:00,18792148,Tienda Online,10,3,Web,120335.94,
124,2024-08-30 16:51:00,25293994,Norte,6,3,Presencial,207268.19,
125,2024-03-16 04:16:00,21387796,Shopping,7,1,Presencial,55694.81999999999,
126,2024-02-26 04:14:00,41535292,Centro,1,2,Presencial,94134.06,
127,2024-09-13 06:42:00,24867952,Norte,5,3,Presencial,144770.37,
128,2025-07-31 01:24:00,17678198,Shopping,7,1,Presencial,65203.3,
129,2025-10-04 18:37:00,28696734,Shopping,7,3,Presencial,86811.68,
130,2024-11-22 11:47:00,37011889,Tienda Online,9,2,Web,99967.31999999999,
131,2024-10-24 13:06:00,22588451,Tienda Online,9,2,Web,115638.84,
132,2025-04-23 17:01:00,41854862,Norte,5,4,Presencial,117788.78,
133,2024-09-27 12:29:00,36873895,Centro,2,3,Presencial,94134.06000000001,
134,2025-09-30 23:13:00,31106889,Centro,1,1,Presencial,77237.9,
135,2025-04-30 17:43:00,36891021,Tienda Online,9,2,Web,100579.97,
136,2025-05-01 00:34:00,24627352,Tienda Online,10,3,Web,163040.24,
137,2025-08-15 19:42:00,16194045,Centro,1,1,Presencial,66143.94,
138,2025-03-27 10:42:00,34218318,Centro,1,2,Presencial,150150.14,4
139,2025-07-13 12:05:00,30075901,Tienda Online,9,3,Web,78062.24,
140,2025-05-15 10:49:00,16659452,Shopping,7,3,Presencial,102523.44,
141,2024-12-19 04:59:00,38195354,Shopping,7,1,Presencial,91716.91,
142,2024-10-04 19:11:00,24800101,Shopping,7,2,Presencial,61394.71000000001,
143,2024-08-26 01:47:00,22313673,Norte,4,4,Presencial,90237.04000000001,
144,2025-05-02 16:17:00,27244970,Tienda Online,10,2,Web,96537.5,
145,2025-07-01 01:16:00,38133707,Tienda Online,9,4,Web,16262.67,
146,2024-02-08 00:18:00,32494103,Tienda Online,10,5,Web,172216.27000000002,
147,2025-05-31 15:58:00,32159349,Tienda Online,10,2,Web,62540.119999999995,
148,2024-12-11 10:04:00,24855701,Shopping,7,2,Presencial,151374.35,
149,2024-09-11 00:13:00,32205074,Norte,6,4,Presencial,104261.20000000001,
150,2024-03-04 22:47:00,23499019,Norte,5,4,Presencial,162647.8,
151,2025-09-12 12:45:00,41561757,Tienda Online,9,5,Web,65465.45,
152,2025-06-24 12:20:00,27675739,Shopping,7,5,Presencial,167081.43,
153,2024-02-26 15:28:00,13950951,Shopping,7,5,Presencial,157934.22,
154,2024-12-18 23:54:00,39176602,Tienda Online,9,5,Web,122344.02,
155,2025-03-06 12:46:00,28540070,Tienda Online,10,4,Web,138757.1,
156,2024-01-04 00:46:00,26591977,Tienda Online,10,4,Web,158218.26,
157,2025-03-05 20:59:00,20714555,Centro,2,2,Presencial,109413.1,
158,2024-10-23 07:59:00,17318490,Shopping,7,3,Presencial,74506.55,
159,2025-02-27 10:15:00,26373518,Shopping,7,1,Presencial,169764.66,
160,2025-03-02 13:56:00,31231220,Shopping,7,3,Presencial,65465.45,
161,2025-07-29 14:05:00,30873468,Norte,4,5,Presencial,128033.73,
162,2024-07-14 01:45:00,26297346,Tienda Online,9,4,Web,33823.38,
163,2025-08-24 22:55:00,11392203,Norte,6,2,Presencial,67646.76,
164,2024-04-30 16:20:00,38701583,Tienda Online,10,5,Web,69845.47,
165,2025-06-30 22:08:00,20254587,Shopping,7,3,Presencial,166963.79,
166,2024-02-16 19:12:00,16194045,Shopping,7,2,Presencial,87336.89,
167,2025-07-17 22:20:00,23369226,Norte,5,3,Presencial,157720.64,
168,2024-03-01 17:53:00,34268915,Tienda Online,9,1,Web,33144.89,
169,2025-10-07 07:53:00,19283286,Shopping,7,2,Presencial,85526.65000000001,
170,2025-07-02 09:47:00,28669062,Tienda Online,10,5,Web,106002.78,
171,2024-12-28 09:07:00,25145607,Norte,6,1,Presencial,183590.88,
172,2025-01-21 18:51:00,18792148,Tienda Online,9,1,Web,36700.58,
173,2025-10-22 11:18:00,20504726,Tienda Online,9,1,Web,100791.65,
174,2024-02-17 02:32:00,32012128,Tienda Online,9,3,Web,101510.49,
175,2025-08-24 04:55:00,24855701,Tienda Online,10,4,Web,62714.119999999995,
176,2025-07-07 11:19:00,11809687,Tienda Online,9,2,Web,202125.49,
177,2025-03-18 06:20:00,24867952,Tienda Online,9,5,Web,156873.78,4
178,2024-05-15 02:58:00,41996735,Shopping,7,4,Presencial,34182.8,
179,2025-09-03 20:24:00,12195552,Tienda Online,9,3,Web,95590.56,
180,2025-05-19 04:58:00,38330675,Norte,6,2,Presencial,140650.49,
181,2024-05-18 10:23:00,28456905,Shopping,7,4,Presencial,83611.56,
182,2024-11-22 09:56:00,37652324,Tienda Online,10,5,Web,136427.11000000002,
183,2025-07-17 00:55:00,10934065,Tienda Online,9,4,Web,128436.40000000001,
184,2024-09-04 08:37:00,16194045,Tienda Online,9,4,Web,131240.18,
185,2025-01-03 23:56:00,26783807,Tienda Online,9,5,Web,33144.89,
186,2025-11-11 12:07:00,16570543,Shopping,7,5,Presencial,88532.4,4
187,2025-04-19 23:11:00,30096828,Centro,1,5,Presencial,33823.38,
188,2024-04-28 04:50:00,32494103,Centro,1,3,Presencial,98562.21,
189,2024-04-27 00:46:00,39766964,Tienda Online,9,3,Web,66968.26999999999,
190,2025-03-12 15:46:00,17740453,Tienda Online,9,4,Web,136581.76,
191,2025-08-14 03:28:00,21710303,Norte,4,5,Presencial,130263.21,
192,2024-12-22 12:00:00,18792148,Shopping,7,5,Presencial,152861.27000000002,
193,2025-03-04 20:21:00,14090793,Centro,1,5,Presencial,175109.61000000002,4
194,2025-07-29 17:15:00,12409147,Norte,6,4,Presencial,136579.75,
195,2024-10-22 05:44:00,27785377,Tienda Online,10,5,Web,167602.26,
196,2025-03-27 18:38:00,26654221,Shopping,7,4,Presencial,115300.55,4
197,2025-08-25 23:31:00,40632634,Tienda Online,9,5,Web,164024.75,
198,2024-10-26 09:52:00,14265307,Tienda Online,9,3,Web,107224.54000000001,
199,2024-05-09 23:56:00,17245195,Shopping,7,2,Presencial,70078.40000000001,
200,2024-03-18 21:37:00,17245195,Shopping,7,1,Presencial,131135.67,
201,2025-04-14 21:40:00,19104260,Tienda Online,10,3,Web,75185.04000000001,
202,2025-08-14 04:27:00,39677512,Tienda Online,9,4,Web,32320.56,
203,2025-04-15 00:33:00,32770212,Centro,1,2,Presencial,98874.04000000001,
204,2024-10-07 03:11:00,25145607,Shopping,7,3,Presencial,36700.58,
205,2024-08-27 14:39:00,24377188,Norte,4,1,Presencial,61861.630000000005,
206,2024-01-09 23:44:00,30873468,Tienda Online,10,1,Web,69225.91,
207,2024-04-14 03:31:00,37406784,Tienda Online,9,3,Web,111749.06,
208,2024-08-06 21:26:00,27579520,Tienda Online,10,4,Web,64641.12,
209,2025-08-26 13:06:00,40632634,Centro,2,4,Presencial,106827.11,
210,2024-01-28 22:28:00,41854862,Shopping,7,2,Presencial,140650.49,
211,2025-10-15 20:16:00,17358428,Tienda Online,9,5,Web,108329.93,
212,2024-03-15 00:34:00,12462702,Centro,2,1,Presencial,28716.74,
213,2025-10-05 17:06:00,27244970,Norte,4,4,Presencial,146613.01,
214,2024-04-28 15:28:00,39677512,Shopping,7,5,Presencial,34182.8,
215,2024-01-12 05:35:00,17019579,Shopping,7,3,Presencial,74506.55,
216,2024-04-30 01:00:00,30196404,Centro,1,4,Presencial,173795.38,
217,2025-08-10 23:00:00,34552283,Shopping,7,1,Presencial,34182.8,
218,2025-04-28 12:25:00,14627608,Centro,1,2,Presencial,61558.549999999996,
219,2024-05-02 17:08:00,19706758,Shopping,7,1,Presencial,139904.52000000002,
220,2025-01-12 20:11:00,42859207,Tienda Online,9,2,Web,102548.40000000001,
221,2024-12-20 21:42:00,24672546,Shopping,7,3,Presencial,131857.29,
222,2024-05-25 09:33:00,39176602,Tienda Online,10,1,Web,120498.93000000001,
223,2024-08-30 09:57:00,32205074,Tienda Online,10,3,Web,97056.48,
224,2025-08-21 03:43:00,25863159,Norte,6,1,Presencial,127181.23999999999,
225,2024-11-07 23:47:00,25333944,Norte,4,1,Presencial,33144.89,
226,2024-12-30 13:31:00,16744926,Tienda Online,10,1,Web,105066.18000000001,
227,2025-07-17 08:31:00,42789774,Centro,2,4,Presencial,32677.97,
228,2024-08-15 04:27:00,14695862,Shopping,7,4,Presencial,159538.13,
229,2024-12-05 04:10:00,14441842,Shopping,7,4,Presencial,128650.42000000001,
230,2025-04-01 05:04:00,20915531,Tienda Online,9,5,Web,115401.29000000001,
231,2025-06-22 08:30:00,32049663,Tienda Online,10,5,Web,99434.67,
232,2024-10-03 06:08:00,34268915,Centro,1,3,Presencial,32525.33,
233,2025-08-21 07:56:00,36913358,Centro,1,1,Presencial,169550.64,
234,2025-01-02 20:11:00,25293994,Tienda Online,9,3,Web,146266.32,
235,2025-09-08 07:28:00,32833825,Norte,5,5,Presencial,89518.2,
236,2024-11-27 02:01:00,16859215,Centro,2,2,Presencial,219303.07,
237,2024-06-10 14:54:00,29302634,Tienda Online,9,4,Web,210518.91,
238,2025-08-09 13:21:00,37388193,Shopping,7,5,Presencial,189714.49,
239,2024-03-31 22:52:00,35909306,Norte,4,3,Presencial,64641.12,
240,2024-02-19 13:10:00,15745388,Tienda Online,10,4,Web,129003.9,
241,2024-08-18 05:33:00,27044130,Tienda Online,9,1,Web,88374.8,
242,2024-06-13 02:33:00,22203066,Shopping,7,1,Presencial,65050.66,
243,2024-06-17 20:43:00,27244970,Norte,4,2,Presencial,58285.97,
244,2024-10-15 10:09:00,26431104,Shopping,7,1,Presencial,69378.55,
245,2025-11-08 21:20:00,39377500,Centro,2,4,Presencial,115043.88,
246,2025-05-15 22:33:00,23222803,Tienda Online,10,1,Web,67646.76,
247,2024-02-15 08:59:00,26127866,Norte,5,4,Presencial,32320.56,
248,2025-11-14 03:18:00,17687437,Tienda Online,10,3,Web,169105.08000000002,
249,2025-08-08 23:07:00,42859207,Norte,4,2,Presencial,55694.81999999999,
250,2024-03-21 23:19:00,34306027,Tienda Online,9,2,Web,168621.26,
251,2025-09-30 20:03:00,18474473,Centro,2,4,Presencial,195523.89,
252,2024-06-25 09:24:00,16065254,Tienda Online,10,2,Web,36700.58,
253,2024-12-05 23:34:00,31625779,Tienda Online,10,1,Web,101151.07,
254,2024-04-10 07:46:00,35059825,Tienda Online,10,3,Web,151744.46000000002,
255,2025-02-20 16:32:00,33160875,Tienda Online,9,3,Web,33823.38,
256,2025-02-17 04:37:00,32279787,Centro,2,5,Presencial,21871.44,
257,2024-02-21 12:18:00,37388193,Norte,5,2,Presencial,164212.46000000002,
258,2025-04-30 20:01:00,41690133,Norte,5,3,Presencial,27735.17,
259,2024-08-14 22:05:00,19888757,Norte,5,2,Presencial,33144.89,
260,2024-05-15 22:05:00,36200760,Tienda Online,9,5,Web,110587.57,
261,2024-11-05 23:06:00,28289000,Centro,2,5,Presencial,199760.79,
262,2024-10-10 21:51:00,44670267,Shopping,7,3,Presencial,66143.94,
263,2025-09-06 13:47:00,36674654,Tienda Online,9,3,Web,137899.16,
264,2025-05-02 22:55:00,41561757,Centro,2,5,Presencial,90111.45000000001,
265,2024-07-06 23:12:00,29368328,Centro,1,1,Presencial,139972.0,
266,2025-09-27 02:25:00,26365398,Shopping,7,2,Presencial,194632.47,
267,2025-10-08 06:02:00,32159349,Norte,4,1,Presencial,65465.45,
268,2025-03-15 13:46:00,25145607,Centro,2,4,Presencial,103408.71,
269,2024-12-18 10:39:00,14090793,Shopping,7,1,Presencial,100324.73,
270,2025-04-11 17:45:00,27044130,Shopping,7,5,Presencial,131609.39,
271,2024-05-14 07:12:00,29302634,Centro,2,1,Presencial,98500.83,
272,2024-01-21 01:38:00,12090484,Norte,4,1,Presencial,162521.93,
273,2024-10-03 21:15:00,14616506,Tienda Online,9,4,Web,169367.23,
274,2024-07-25 12:13:00,33160875,Shopping,7,3,Presencial,107651.44,
275,2024-01-14 22:55:00,15285296,Tienda Online,10,1,Web,64641.12,
276,2024-04-13 08:44:00,17614246,Norte,6,2,Presencial,132413.75,
277,2024-04-28 03:14:00,17245195,Centro,2,1,Presencial,101546.47,
278,2024-12-16 06:14:00,26764226,Norte,6,4,Presencial,127327.08,
279,2024-03-01 05:26:00,42789774,Tienda Online,10,4,Web,151060.76,
280,2025-02-25 15:02:00,40793026,Norte,4,1,Presencial,155995.69,
281,2025-03-19 22:35:00,44032415,Shopping,7,4,Presencial,62714.119999999995,
282,2024-06-09 17:15:00,34929174,Tienda Online,9,4,Web,28716.74,
283,2024-12-04 09:29:00,38330675,Shopping,7,5,Presencial,136793.77,
284,2024-05-01 16:58:00,26819279,Norte,4,1,Presencial,196625.45,
285,2025-04-29 22:25:00,26594901,Shopping,7,4,Presencial,33823.38,
286,2024-10-25 18:41:00,10934065,Tienda Online,9,3,Web,65670.22,
287,2025-02-23 03:39:00,31625779,Centro,1,5,Presencial,63233.100000000006,
288,2024-04-20 14:08:00,16778091,Norte,6,5,Presencial,193616.86,
289,2024-06-30 23:36:00,28696734,Shopping,7,2,Presencial,252062.39,
290,2024-05-21 14:05:00,29368328,Shopping,7,5,Presencial,184790.8,
291,2025-07-29 16:23:00,22588451,Tienda Online,10,5,Web,172235.18,
292,2024-06-13 09:46:00,21756850,Centro,1,3,Presencial,61242.07000000001,
293,2025-11-22 19:10:00,24234180,Tienda Online,10,2,Web,62633.3,4
294,2025-01-31 14:13:00,35441229,Shopping,7,5,Presencial,73886.99,
295,2025-10-10 22:06:00,43875089,Shopping,7,5,Presencial,70771.83,
296,2025-01-21 01:23:00,27826293,Centro,2,3,Presencial,202957.68,
297,2025-09-22 22:35:00,44321020,Tienda Online,10,4,Web,41361.66,
298,2025-06-17 02:19:00,31616558,Shopping,7,5,Presencial,29569.23,
299,2024-12-05 11:18:00,34764543,Shopping,7,3,Presencial,199267.72,
300,2024-02-10 23:17:00,26373518,Tienda Online,9,4,Web,146115.93,
301,2025-06-04 15:12:00,29955030,Shopping,7,1,Presencial,99648.25,
302,2024-08-03 22:52:00,21387796,Tienda Online,9,4,Web,157539.77000000002,
303,2024-03-30 02:30:00,31169695,Tienda Online,9,2,Web,196211.04,
304,2025-10-18 21:06:00,27632290,Centro,1,5,Presencial,152540.19,
305,2025-07-12 10:04:00,27785377,Shopping,7,2,Presencial,10935.72,
306,2025-07-04 18:41:00,30028290,Shopping,7,3,Presencial,86922.1,
307,2024-09-15 06:37:00,14090793,Tienda Online,9,2,Web,181847.27000000002,
308,2024-12-31 04:22:00,22874170,Centro,2,1,Presencial,94134.06,
309,2025-08-02 19:20:00,25519695,Tienda Online,9,3,Web,36700.58,
310,2024-08-14 21:52:00,16065254,Tienda Online,9,3,Web,106412.32,
311,2024-06-28 22:02:00,28688292,Tienda Online,9,3,Web,161150.46,
312,2025-08-27 07:15:00,15354748,Shopping,7,5,Presencial,69845.47,
313,2024-10-24 04:34:00,42745601,Norte,6,5,Presencial,146013.05000000002,
314,2024-05-29 16:30:00,25333944,Norte,4,3,Presencial,40561.66,
315,2025-06-14 12:19:00,20226206,Tienda Online,9,4,Web,36700.58,
316,2025-10-10 09:20:00,10190290,Shopping,7,3,Presencial,139902.51,
317,2025-09-10 00:13:00,34218318,Centro,2,2,Presencial,172351.49,
318,2025-05-05 16:21:00,38701583,Norte,4,5,Presencial,70883.38,
319,2025-10-06 17:29:00,40427850,Centro,1,5,Presencial,90578.37,
320,2025-11-08 09:40:00,17687437,Norte,6,2,Presencial,61002.19,4
321,2024-06-20 23:24:00,31630635,Centro,2,4,Presencial,121471.56,
322,2024-06-30 16:14:00,16100827,Centro,2,5,Presencial,133617.47,
323,2025-06-18 14:21:00,37133232,Tienda Online,10,1,Web,65465.45,
324,2024-08-26 02:51:00,20226206,Tienda Online,10,5,Web,88374.8,
325,2025-01-19 22:20:00,26654221,Centro,2,3,Presencial,132618.52000000002,
326,2025-11-27 13:33:00,38902901,Shopping,7,2,Presencial,78062.24,
327,2025-02-11 04:42:00,44993998,Tienda Online,10,1,Web,74039.63,
328,2025-07-17 20:57:00,43334803,Shopping,7,1,Presencial,21871.44,
329,2025-09-06 14:51:00,10217789,Norte,4,1,Presencial,165994.95,
330,2025-06-14 09:45:00,16951572,Tienda Online,9,1,Web,227057.07,5
331,2025-07-26 19:53:00,41854862,Tienda Online,10,3,Web,66348.70999999999,
332,2024-09-24 05:58:00,44533969,Centro,1,5,Presencial,94860.68,
333,2025-03-29 12:52:00,42745601,Tienda Online,10,4,Web,133056.84,
334,2025-02-26 12:03:00,42859207,Norte,4,5,Presencial,94072.68000000001,
335,2024-07-01 16:15:00,16884540,Shopping,7,3,Presencial,100113.16,
336,2024-07-23 08:00:00,20254587,Centro,2,3,Presencial,173330.47,
337,2025-07-08 01:26:00,18494838,Tienda Online,10,3,Web,162048.2,
338,2025-04-13 04:06:00,38250184,Shopping,7,5,Presencial,32525.33,
339,2024-11-29 12:20:00,29790252,Norte,4,3,Presencial,144332.05000000002,
340,2025-03-05 23:55:00,35433541,Tienda Online,10,3,Web,124057.15000000001,4
341,2024-06-02 16:08:00,31925749,Norte,4,1,Presencial,149555.93,
342,2024-09-17 16:15:00,16604711,Tienda Online,10,4,Web,111885.62,
343,2025-11-26 20:40:00,29911725,Shopping,7,5,Presencial,110587.57,
344,2024-06-20 21:51:00,37011889,Tienda Online,10,4,Web,32320.56,
345,2024-08-21 10:42:00,15745388,Tienda Online,10,3,Web,128364.37,
346,2025-02-27 05:42:00,28567695,Centro,1,1,Presencial,21871.44,
347,2024-04-15 03:15:00,16100827,Centro,1,4,Presencial,152987.14,
348,2024-05-14 17:58:00,10190290,Shopping,7,2,Presencial,102423.29000000001,
349,2025-07-31 14:50:00,20504726,Norte,6,5,Presencial,164910.91999999998,
350,2024-05-19 11:44:00,17254174,Shopping,7,4,Presencial,139690.94,
351,2025-10-23 13:18:00,34070194,Centro,1,4,Presencial,61861.630000000005,
352,2024-10-05 09:43:00,38127120,Centro,2,3,Presencial,70930.89,
353,2024-10-05 23:54:00,26819279,Centro,2,2,Presencial,164289.37,
