ticket_nro,fecha_hora,dni_cliente,sucursal,canal,empleado_id,metodo_pago_id,sku_variante,cantidad,costo_unitario_historico,precio_unitario_cobrado,promocion_id,subtotal
8,2025-08-03 10:44:00,20565131,Tienda Online,Web,7,4,CAM-BLA-XL,1,14680.23,36700.58,,36700.58
8,2025-08-03 10:44:00,20565131,Tienda Online,Web,7,4,BUZ-AZU-L,1,11827.69,29569.23,,29569.23
9,2025-08-20 13:37:00,10027242,Centro,Presencial,3,2,MUS-AZU-M,1,12928.22,32320.56,,32320.56
10,2024-06-12 23:13:00,25519695,Shopping,Presencial,2,5,CAM-BLA-S,1,14680.23,36700.58,,36700.58
10,2024-06-12 23:13:00,25519695,Shopping,Presencial,2,5,BUZ-NEG-XL,1,11827.69,29569.23,,29569.23
10,2024-06-12 23:13:00,25519695,Shopping,Presencial,2,5,REM-TUR-S,1,13673.12,34182.8,,34182.8
10,2024-06-12 23:13:00,25519695,Shopping,Presencial,2,5,MUS-AZU-M,1,12928.22,32320.56,,32320.56
11,2025-07-03 09:06:00,35501998,Centro,Presencial,2,3,REM-TUR-M,2,13673.12,34182.8,,68365.6
11,2025-07-03 09:06:00,35501998,Centro,Presencial,2,3,CHU-ÍND-L,2,13529.35,33823.38,,67646.76
11,2025-07-03 09:06:00,35501998,Centro,Presencial,2,3,CAM-BEI-M,2,14680.23,36700.58,,73401.16
11,2025-07-03 09:06:00,35501998,Centro,Presencial,2,3,CHU-VER-L,1,13529.35,33823.38,,33823.38
12,2024-07-22 05:13:00,29044583,Tienda Online,Web,9,2,REM-TUR-M,1,13673.12,34182.8,,34182.8
12,2024-07-22 05:13:00,29044583,Tienda Online,Web,9,2,CAM-BEI-S,1,14680.23,36700.58,,36700.58
12,2024-07-22 05:13:00,29044583,Tienda Online,Web,9,2,JOG-CEL-XL,1,16544.66,41361.66,,41361.66
12,2024-07-22 05:13:00,29044583,Tienda Online,Web,9,2,CIN-MAR-M,1,13257.96,33144.89,,33144.89
12,2024-07-22 05:13:00,29044583,Tienda Online,Web,9,2,REM-VIO-M,1,13071.19,32677.97,,32677.97
13,2025-08-03 02:41:00,17358428,Tienda Online,Web,2,4,CIN-TUR-unico,1,13257.96,33144.89,,33144.89
13,2025-08-03 02:41:00,17358428,Tienda Online,Web,2,4,GOR-ROJ-XXL,1,11486.7,28716.74,,28716.74
13,2025-08-03 02:41:00,17358428,Tienda Online,Web,2,4,BUZ-NEG-XL,1,11827.69,29569.23,,29569.23
13,2025-08-03 02:41:00,17358428,Tienda Online,Web,2,4,CAM-BLA-S,1,14680.23,36700.58,,36700.58
13,2025-08-03 02:41:00,17358428,Tienda Online,Web,2,4,JOG-ÍND-S,2,16544.66,41361.66,,82723.32
14,2025-07-06 23:32:00,29142751,Tienda Online,Web,7,3,JOG-ÍND-L,1,16544.66,41361.66,,41361.66
14,2025-07-06 23:32:00,29142751,Tienda Online,Web,7,3,CHU-ÍND-XXL,1,13529.35,33823.38,,33823.38
14,2025-07-06 23:32:00,29142751,Tienda Online,Web,7,3,BUZ-AZU-unico,1,11827.69,29569.23,,29569.23
15,2024-01-08 02:25:00,17614246,Centro,Presencial,4,1,REM-VIO-XL,1,13071.19,32677.97,,32677.97
15,2024-01-08 02:25:00,17614246,Centro,Presencial,4,1,CHU-VER-M,1,13529.35,33823.38,,33823.38
15,2024-01-08 02:25:00,17614246,Centro,Presencial,4,1,JEA-NEG-unico,1,8748.58,21871.44,,21871.44
16,2025-08-07 19:40:00,12701677,Tienda Online,Web,8,2,REM-BLA-S,1,13071.19,32677.97,,32677.97
16,2025-08-07 19:40:00,12701677,Tienda Online,Web,8,2,JOG-ÍND-XXL,1,16544.66,41361.66,,41361.66
17,2025-02-24 15:56:00,27593354,Shopping,Presencial,2,1,CIN-MAR-L,1,13257.96,33144.89,,33144.89
17,2025-02-24 15:56:00,27593354,Shopping,Presencial,2,1,CHU-ÍND-XXL,1,13529.35,33823.38,,33823.38
17,2025-02-24 15:56:00,27593354,Shopping,Presencial,2,1,CAM-BLA-XL,1,14680.23,36700.58,,36700.58
18,2025-03-08 06:15:00,38701583,Tienda Online,Web,4,4,JOG-ÍND-L,1,16544.66,41361.66,,41361.66
19,2024-04-10 01:43:00,12675011,Tienda Online,Web,1,5,MUS-CEL-XXL,1,12928.22,32320.56,,32320.56
19,2024-04-10 01:43:00,12675011,Tienda Online,Web,1,5,CAM-BEI-unico,1,14680.23,36700.58,,36700.58
20,2025-02-14 02:00:00,16504916,Tienda Online,Web,1,4,CIN-TUR-XXL,1,13257.96,33144.89,,33144.89
20,2025-02-14 02:00:00,16504916,Tienda Online,Web,1,4,CHU-VER-XL,1,13529.35,33823.38,,33823.38
20,2025-02-14 02:00:00,16504916,Tienda Online,Web,1,4,GOR-GRI-M,2,11486.7,28716.74,,57433.48
21,2025-07-23 22:35:00,19706758,Centro,Presencial,3,4,BUZ-AZU-L,1,11827.69,29569.23,,29569.23
22,2024-03-03 10:42:00,35464823,Shopping,Presencial,10,1,REM-VIO-M,2,13071.19,32677.97,,65355.94
22,2024-03-03 10:42:00,35464823,Shopping,Presencial,10,1,REM-BLA-unico,1,13071.19,32677.97,,32677.97
23,2024-03-11 20:18:00,31117675,Shopping,Presencial,7,2,BUZ-AZU-L,1,11827.69,29569.23,,29569.23
23,2024-03-11 20:18:00,31117675,Shopping,Presencial,7,2,SWE-MAR-XXL,1,13010.13,32525.33,,32525.33
24,2025-11-04 19:55:00,22425195,Tienda Online,Web,6,5,GOR-ROJ-S,1,11486.7,28716.74,,28716.74
24,2025-11-04 19:55:00,22425195,Tienda Online,Web,6,5,JOG-AZU-L,1,16544.66,41361.66,,41361.66
25,2025-04-13 10:47:00,11730076,Shopping,Presencial,1,1,REM-VIO-XL,1,13071.19,32677.97,,32677.97
26,2024-05-15 11:54:00,17792713,Centro,Presencial,4,1,CAM-BLA-L,1,14680.23,36700.58,,36700.58
26,2024-05-15 11:54:00,17792713,Centro,Presencial,4,1,CIN-MAR-M,1,13257.96,32344.89,12.0,32344.89
26,2024-05-15 11:54:00,17792713,Centro,Presencial,4,1,GOR-ROJ-XXL,1,11486.7,28716.74,,28716.74
26,2024-05-15 11:54:00,17792713,Centro,Presencial,4,1,CHU-ÍND-L,1,13529.35,33023.38,12.0,33023.38
27,2024-10-05 09:37:00,29955030,Shopping,Presencial,6,2,CAM-BEI-M,1,14680.23,36700.58,,36700.58
27,2024-10-05 09:37:00,29955030,Shopping,Presencial,6,2,REM-VIO-L,1,13071.19,32677.97,,32677.97
27,2024-10-05 09:37:00,29955030,Shopping,Presencial,6,2,JOG-ÍND-S,1,16544.66,41361.66,,41361.66
28,2024-02-15 00:07:00,31050528,Norte,Presencial,5,2,GOR-GRI-L,1,11486.7,28716.74,,28716.74
28,2024-02-15 00:07:00,31050528,Norte,Presencial,5,2,REM-TUR-S,1,13673.12,34182.8,,34182.8
28,2024-02-15 00:07:00,31050528,Norte,Presencial,5,2,GOR-ROJ-XL,2,11486.7,28716.74,,57433.48
28,2024-02-15 00:07:00,31050528,Norte,Presencial,5,2,CAM-BLA-L,1,14680.23,36700.58,,36700.58
28,2024-02-15 00:07:00,31050528,Norte,Presencial,5,2,JOG-CEL-XXL,1,16544.66,41361.66,,41361.66
29,2024-05-31 14:40:00,18439645,Centro,Presencial,5,1,JEA-NEG-XXL,1,8748.58,21871.44,,21871.44
29,2024-05-31 14:40:00,18439645,Centro,Presencial,5,1,JOG-CEL-unico,1,16544.66,41361.66,,41361.66
29,2024-05-31 14:40:00,18439645,Centro,Presencial,5,1,JOG-AZU-XXL,2,16544.66,41361.66,,82723.32
30,2024-08-30 05:32:00,16381102,Shopping,Presencial,7,2,CIN-TUR-XXL,2,13257.96,33144.89,,66289.78
30,2024-08-30 05:32:00,16381102,Shopping,Presencial,7,2,CIN-MAR-L,1,13257.96,33144.89,,33144.89
30,2024-08-30 05:32:00,16381102,Shopping,Presencial,7,2,CIN-ROS-L,1,13257.96,33144.89,,33144.89
31,2024-09-30 05:26:00,38902901,Tienda Online,Web,7,1,JEA-NEG-L,1,8748.58,21871.44,,21871.44
31,2024-09-30 05:26:00,38902901,Tienda Online,Web,7,1,CAM-CEL-S,1,14680.23,36700.58,,36700.58
31,2024-09-30 05:26:00,38902901,Tienda Online,Web,7,1,CIN-MAR-unico,1,13257.96,33144.89,,33144.89
31,2024-09-30 05:26:00,38902901,Tienda Online,Web,7,1,JEA-NEG-XL,1,8748.58,21871.44,,21871.44
32,2025-11-06 06:35:00,40632634,Tienda Online,Web,5,3,JOG-CEL-S,1,16544.66,41361.66,,41361.66
32,2025-11-06 06:35:00,40632634,Tienda Online,Web,5,3,CAM-BLA-XL,1,14680.23,30094.48,9.0,30094.48
32,2025-11-06 06:35:00,40632634,Tienda Online,Web,5,3,JEA-LAV-S,1,8748.58,21871.44,,21871.44
33,2024-02-09 03:42:00,30390056,Tienda Online,Web,6,4,JOG-ÍND-XXL,1,16544.66,41361.66,,41361.66
33,2024-02-09 03:42:00,30390056,Tienda Online,Web,6,4,CAM-BEI-L,1,14680.23,36700.58,,36700.58
33,2024-02-09 03:42:00,30390056,Tienda Online,Web,6,4,BUZ-AZU-M,1,11827.69,29569.23,,29569.23
34,2024-02-15 14:53:00,17471301,Tienda Online,Web,9,5,JOG-CEL-XL,1,16544.66,41361.66,,41361.66
34,2024-02-15 14:53:00,17471301,Tienda Online,Web,9,5,GOR-ROJ-S,2,11486.7,28716.74,,57433.48
35,2025-09-30 10:42:00,39677512,Shopping,Presencial,5,1,CHU-NEG-M,1,13529.35,33823.38,,33823.38
35,2025-09-30 10:42:00,39677512,Shopping,Presencial,5,1,MUS-AZU-XXL,1,12928.22,32320.56,,32320.56
35,2025-09-30 10:42:00,39677512,Shopping,Presencial,5,1,JOG-CEL-L,1,16544.66,41361.66,,41361.66
35,2025-09-30 10:42:00,39677512,Shopping,Presencial,5,1,SWE-AZU-XXL,1,13010.13,32525.33,,32525.33
36,2024-01-01 10:22:00,19938405,Tienda Online,Web,7,2,SWE-MAR-L,1,13010.13,32525.33,,32525.33
36,2024-01-01 10:22:00,19938405,Tienda Online,Web,7,2,JOG-ÍND-L,1,16544.66,41361.66,,41361.66
36,2024-01-01 10:22:00,19938405,Tienda Online,Web,7,2,JEA-NEG-unico,1,8748.58,21871.44,,21871.44
36,2024-01-01 10:22:00,19938405,Tienda Online,Web,7,2,CIN-MAR-S,2,13257.96,33144.89,,66289.78
36,2024-01-01 10:22:00,19938405,Tienda Online,Web,7,2,CIN-MAR-S,1,13257.96,33144.89,,33144.89
37,2025-11-05 02:53:00,34777665,Centro,Presencial,10,5,JEA-NEG-L,1,8748.58,17934.58,9.0,17934.58
37,2025-11-05 02:53:00,34777665,Centro,Presencial,10,5,CHU-ÍND-XXL,2,13529.35,33823.38,,67646.76
37,2025-11-05 02:53:00,34777665,Centro,Presencial,10,5,CIN-TUR-unico,1,13257.96,33144.89,,33144.89
38,2025-10-06 19:38:00,36913358,Centro,Presencial,8,4,CIN-ROS-XXL,1,13257.96,33144.89,,33144.89
39,2025-03-11 07:28:00,26687044,Centro,Presencial,8,5,CAM-CEL-S,1,14680.23,36700.58,,36700.58
40,2025-06-27 19:04:00,13597644,Tienda Online,Web,8,3,JOG-ÍND-S,1,16544.66,41361.66,,41361.66
40,2025-06-27 19:04:00,13597644,Tienda Online,Web,8,3,BUZ-NEG-XL,1,11827.69,29569.23,,29569.23
40,2025-06-27 19:04:00,13597644,Tienda Online,Web,8,3,MUS-CEL-unico,1,12928.22,32320.56,,32320.56
40,2025-06-27 19:04:00,13597644,Tienda Online,Web,8,3,CAM-CEL-XL,1,14680.23,36700.58,,36700.58
40,2025-06-27 19:04:00,13597644,Tienda Online,Web,8,3,CIN-ROS-XXL,1,13257.96,33144.89,,33144.89
41,2025-10-14 09:27:00,32049663,Tienda Online,Web,8,5,JOG-ÍND-L,1,16544.66,41361.66,,41361.66
41,2025-10-14 09:27:00,32049663,Tienda Online,Web,8,5,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
41,2025-10-14 09:27:00,32049663,Tienda Online,Web,8,5,REM-BLA-unico,1,13071.19,32677.97,,32677.97
42,2024-06-05 07:18:00,31169695,Norte,Presencial,7,4,REM-VIO-M,1,13071.19,32677.97,,32677.97
42,2024-06-05 07:18:00,31169695,Norte,Presencial,7,4,JOG-ÍND-M,1,16544.66,41361.66,,41361.66
42,2024-06-05 07:18:00,31169695,Norte,Presencial,7,4,CIN-TUR-unico,1,13257.96,33144.89,,33144.89
42,2024-06-05 07:18:00,31169695,Norte,Presencial,7,4,GOR-GRI-unico,1,11486.7,28716.74,,28716.74
43,2025-08-12 12:59:00,20226206,Norte,Presencial,6,1,CAM-BLA-XL,1,14680.23,36700.58,,36700.58
43,2025-08-12 12:59:00,20226206,Norte,Presencial,6,1,CAM-BLA-L,1,14680.23,36700.58,,36700.58
43,2025-08-12 12:59:00,20226206,Norte,Presencial,6,1,JEA-NEG-L,1,8748.58,21871.44,,21871.44
43,2025-08-12 12:59:00,20226206,Norte,Presencial,6,1,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
44,2024-01-30 13:16:00,22755970,Tienda Online,Web,3,4,SWE-MAR-XXL,1,13010.13,32525.33,,32525.33
44,2024-01-30 13:16:00,22755970,Tienda Online,Web,3,4,JOG-AZU-L,1,16544.66,41361.66,,41361.66
45,2025-11-09 00:55:00,16100827,Tienda Online,Web,3,4,REM-VIO-L,1,13071.19,32677.97,,32677.97
45,2025-11-09 00:55:00,16100827,Tienda Online,Web,3,4,CAM-CEL-S,1,14680.23,36700.58,,36700.58
46,2025-01-23 09:29:00,32279787,Tienda Online,Web,5,4,REM-TUR-XXL,1,13673.12,34182.8,,34182.8
46,2025-01-23 09:29:00,32279787,Tienda Online,Web,5,4,REM-VIO-L,2,13071.19,32677.97,,65355.94
46,2025-01-23 09:29:00,32279787,Tienda Online,Web,5,4,JOG-CEL-S,1,16544.66,41361.66,,41361.66
46,2025-01-23 09:29:00,32279787,Tienda Online,Web,5,4,REM-VIO-XXL,1,13071.19,32677.97,,32677.97
47,2025-10-29 01:22:00,39548449,Centro,Presencial,4,1,MUS-CEL-M,1,12928.22,32320.56,,32320.56
47,2025-10-29 01:22:00,39548449,Centro,Presencial,4,1,CAM-CEL-XL,1,14680.23,36700.58,,36700.58
47,2025-10-29 01:22:00,39548449,Centro,Presencial,4,1,BUZ-NEG-unico,2,11827.69,29569.23,,59138.46
47,2025-10-29 01:22:00,39548449,Centro,Presencial,4,1,CAM-CEL-unico,1,14680.23,36700.58,,36700.58
47,2025-10-29 01:22:00,39548449,Centro,Presencial,4,1,CIN-TUR-unico,1,13257.96,33144.89,,33144.89
48,2025-09-12 20:43:00,29790252,Tienda Online,Web,3,1,BUZ-AZU-L,1,11827.69,29569.23,,29569.23
49,2024-11-15 19:39:00,43250363,Tienda Online,Web,7,4,REM-VIO-XL,1,13071.19,32677.97,,32677.97
49,2024-11-15 19:39:00,43250363,Tienda Online,Web,7,4,SWE-MAR-S,1,13010.13,32525.33,,32525.33
50,2024-11-04 23:21:00,25145607,Tienda Online,Web,10,1,CAM-BLA-XL,1,14680.23,36700.58,,36700.58
50,2024-11-04 23:21:00,25145607,Tienda Online,Web,10,1,JOG-CEL-XXL,1,16544.66,41361.66,,41361.66
50,2024-11-04 23:21:00,25145607,Tienda Online,Web,10,1,SWE-MAR-M,1,13010.13,32525.33,,32525.33
51,2025-03-06 16:43:00,27675739,Tienda Online,Web,6,4,GOR-GRI-L,1,11486.7,17230.04,7.0,17230.04
51,2025-03-06 16:43:00,27675739,Tienda Online,Web,6,4,SWE-AZU-XXL,1,13010.13,32525.33,,32525.33
51,2025-03-06 16:43:00,27675739,Tienda Online,Web,6,4,CAM-BEI-unico,1,14680.23,36700.58,,36700.58
51,2025-03-06 16:43:00,27675739,Tienda Online,Web,6,4,BUZ-AZU-unico,1,11827.69,29569.23,,29569.23
52,2024-03-29 09:31:00,17792713,Tienda Online,Web,4,4,SWE-AZU-XXL,1,13010.13,32525.33,,32525.33
52,2024-03-29 09:31:00,17792713,Tienda Online,Web,4,4,CHU-NEG-XL,1,13529.35,33823.38,,33823.38
52,2024-03-29 09:31:00,17792713,Tienda Online,Web,4,4,CHU-NEG-M,1,13529.35,33823.38,,33823.38
52,2024-03-29 09:31:00,17792713,Tienda Online,Web,4,4,JEA-NEG-unico,1,8748.58,21871.44,,21871.44
52,2024-03-29 09:31:00,17792713,Tienda Online,Web,4,4,CHU-ÍND-L,1,13529.35,33823.38,,33823.38
53,2025-09-02 23:56:00,12497263,Centro,Presencial,9,3,JEA-NEG-M,1,8748.58,21871.44,,21871.44
54,2024-09-03 23:34:00,26594901,Tienda Online,Web,8,4,CHU-VER-S,1,13529.35,33823.38,,33823.38
55,2024-09-06 10:27:00,39677512,Shopping,Presencial,6,5,JOG-ÍND-S,2,16544.66,41361.66,,82723.32
55,2024-09-06 10:27:00,39677512,Shopping,Presencial,6,5,BUZ-NEG-XL,1,11827.69,29569.23,,29569.23
55,2024-09-06 10:27:00,39677512,Shopping,Presencial,6,5,GOR-GRI-unico,1,11486.7,28716.74,,28716.74
56,2024-11-09 08:34:00,36560738,Shopping,Presencial,4,1,CIN-ROS-unico,1,13257.96,33144.89,,33144.89
56,2024-11-09 08:34:00,36560738,Shopping,Presencial,4,1,JEA-LAV-L,1,8748.58,21871.44,,21871.44
56,2024-11-09 08:34:00,36560738,Shopping,Presencial,4,1,CAM-BEI-unico,1,14680.23,36700.58,,36700.58
56,2024-11-09 08:34:00,36560738,Shopping,Presencial,4,1,BUZ-AZU-unico,2,11827.69,29569.23,,59138.46
56,2024-11-09 08:34:00,36560738,Shopping,Presencial,4,1,CAM-BLA-S,1,14680.23,36700.58,,36700.58
57,2024-04-12 06:37:00,37271524,Centro,Presencial,6,2,MUS-AZU-XXL,1,12928.22,32320.56,,32320.56
57,2024-04-12 06:37:00,37271524,Centro,Presencial,6,2,REM-VIO-L,1,13071.19,32677.97,,32677.97
57,2024-04-12 06:37:00,37271524,Centro,Presencial,6,2,GOR-GRI-unico,2,11486.7,28716.74,,57433.48
57,2024-04-12 06:37:00,37271524,Centro,Presencial,6,2,SWE-MAR-unico,1,13010.13,32525.33,,32525.33
57,2024-04-12 06:37:00,37271524,Centro,Presencial,6,2,CAM-BEI-S,1,14680.23,36700.58,,36700.58
58,2024-01-13 19:35:00,34777665,Centro,Presencial,8,4,CHU-ÍND-XL,2,13529.35,33823.38,,67646.76
59,2025-05-04 03:53:00,36562073,Shopping,Presencial,7,1,MUS-CEL-M,1,12928.22,32320.56,,32320.56
60,2025-07-30 10:22:00,17358428,Norte,Presencial,2,2,SWE-AZU-M,1,13010.13,32525.33,,32525.33
60,2025-07-30 10:22:00,17358428,Norte,Presencial,2,2,JEA-NEG-L,1,8748.58,21871.44,,21871.44
60,2025-07-30 10:22:00,17358428,Norte,Presencial,2,2,JOG-CEL-L,1,16544.66,41361.66,,41361.66
60,2025-07-30 10:22:00,17358428,Norte,Presencial,2,2,JOG-ÍND-L,1,16544.66,41361.66,,41361.66
60,2025-07-30 10:22:00,17358428,Norte,Presencial,2,2,BUZ-AZU-unico,2,11827.69,29569.23,,59138.46
61,2024-11-08 19:24:00,40232791,Tienda Online,Web,10,1,CIN-ROS-unico,1,13257.96,33144.89,,33144.89
62,2024-08-04 09:01:00,21756850,Shopping,Presencial,3,1,MUS-CEL-unico,1,12928.22,32320.56,,32320.56
63,2025-04-06 23:31:00,13597644,Norte,Presencial,5,4,GOR-GRI-unico,1,11486.7,23547.73,10.0,23547.73
63,2025-04-06 23:31:00,13597644,Norte,Presencial,5,4,CHU-ÍND-L,1,13529.35,33823.38,,33823.38
63,2025-04-06 23:31:00,13597644,Norte,Presencial,5,4,GOR-ROJ-XXL,1,11486.7,23547.73,10.0,23547.73
64,2025-07-11 07:40:00,43586119,Tienda Online,Web,5,2,REM-VIO-M,1,13071.19,32677.97,,32677.97
65,2025-08-05 09:51:00,33606133,Tienda Online,Web,8,1,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
65,2025-08-05 09:51:00,33606133,Tienda Online,Web,8,1,CAM-BEI-XXL,1,14680.23,36700.58,,36700.58
65,2025-08-05 09:51:00,33606133,Tienda Online,Web,8,1,SWE-AZU-M,1,13010.13,32525.33,,32525.33
65,2025-08-05 09:51:00,33606133,Tienda Online,Web,8,1,JOG-ÍND-XXL,1,16544.66,41361.66,,41361.66
66,2025-09-10 08:32:00,16490526,Tienda Online,Web,4,1,BUZ-AZU-unico,2,11827.69,29569.23,,59138.46
66,2025-09-10 08:32:00,16490526,Tienda Online,Web,4,1,CIN-ROS-unico,1,13257.96,33144.89,,33144.89
66,2025-09-10 08:32:00,16490526,Tienda Online,Web,4,1,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
66,2025-09-10 08:32:00,16490526,Tienda Online,Web,4,1,CIN-ROS-unico,1,13257.96,33144.89,,33144.89
66,2025-09-10 08:32:00,16490526,Tienda Online,Web,4,1,CAM-CEL-XL,1,14680.23,36700.58,,36700.58
67,2025-03-28 09:29:00,22313673,Tienda Online,Web,7,5,REM-BLA-XL,1,13071.19,32677.97,,32677.97
67,2025-03-28 09:29:00,22313673,Tienda Online,Web,7,5,CHU-NEG-M,1,13529.35,33823.38,,33823.38
67,2025-03-28 09:29:00,22313673,Tienda Online,Web,7,5,CHU-NEG-S,1,13529.35,33823.38,,33823.38
67,2025-03-28 09:29:00,22313673,Tienda Online,Web,7,5,GOR-ROJ-XXL,2,11486.7,28716.74,,57433.48
68,2025-07-17 01:15:00,11818787,Centro,Presencial,6,1,CAM-BEI-L,1,14680.23,36700.58,,36700.58
68,2025-07-17 01:15:00,11818787,Centro,Presencial,6,1,REM-TUR-M,1,13673.12,34182.8,,34182.8
68,2025-07-17 01:15:00,11818787,Centro,Presencial,6,1,CAM-BLA-L,1,14680.23,36700.58,,36700.58
68,2025-07-17 01:15:00,11818787,Centro,Presencial,6,1,REM-VIO-L,1,13071.19,32677.97,,32677.97
69,2025-01-05 21:15:00,40663924,Tienda Online,Web,8,4,CHU-ÍND-unico,1,13529.35,33823.38,,33823.38
69,2025-01-05 21:15:00,40663924,Tienda Online,Web,8,4,CHU-VER-XL,1,13529.35,33823.38,,33823.38
70,2025-05-11 04:08:00,27751694,Tienda Online,Web,4,5,BUZ-NEG-XL,1,11827.69,29569.23,,29569.23
70,2025-05-11 04:08:00,27751694,Tienda Online,Web,4,5,JOG-AZU-XXL,1,16544.66,41361.66,,41361.66
70,2025-05-11 04:08:00,27751694,Tienda Online,Web,4,5,MUS-AZU-M,1,12928.22,32320.56,,32320.56
71,2024-04-30 22:06:00,19179099,Tienda Online,Web,8,2,CAM-BEI-L,1,14680.23,36700.58,,36700.58
71,2024-04-30 22:06:00,19179099,Tienda Online,Web,8,2,JOG-ÍND-M,1,16544.66,41361.66,,41361.66
71,2024-04-30 22:06:00,19179099,Tienda Online,Web,8,2,CAM-CEL-XL,1,14680.23,36700.58,,36700.58
72,2025-07-18 04:56:00,14887419,Centro,Presencial,10,2,CHU-VER-M,1,13529.35,33823.38,,33823.38
73,2025-02-28 11:36:00,27808512,Tienda Online,Web,5,5,GOR-GRI-XXL,1,11486.7,28716.74,,28716.74
73,2025-02-28 11:36:00,27808512,Tienda Online,Web,5,5,BUZ-AZU-unico,1,11827.69,29569.23,,29569.23
73,2025-02-28 11:36:00,27808512,Tienda Online,Web,5,5,GOR-ROJ-XXL,1,11486.7,28716.74,,28716.74
74,2024-06-01 15:14:00,44670267,Shopping,Presencial,6,4,CAM-CEL-S,2,14680.23,36700.58,,73401.16
74,2024-06-01 15:14:00,44670267,Shopping,Presencial,6,4,JEA-LAV-L,2,8748.58,21871.44,,43742.88
74,2024-06-01 15:14:00,44670267,Shopping,Presencial,6,4,JEA-NEG-M,1,8748.58,21871.44,,21871.44
74,2024-06-01 15:14:00,44670267,Shopping,Presencial,6,4,JEA-NEG-XL,1,8748.58,21871.44,,21871.44
75,2025-02-24 01:29:00,28696734,Shopping,Presencial,7,4,CAM-BEI-XXL,2,14680.23,36700.58,,73401.16
75,2025-02-24 01:29:00,28696734,Shopping,Presencial,7,4,MUS-AZU-XXL,1,12928.22,32320.56,,32320.56
76,2025-08-27 11:19:00,32012128,Norte,Presencial,8,1,GOR-GRI-XXL,1,11486.7,28716.74,,28716.74
77,2025-11-01 05:16:00,27632290,Shopping,Presencial,5,4,SWE-MAR-L,1,13010.13,32525.33,,32525.33
77,2025-11-01 05:16:00,27632290,Shopping,Presencial,5,4,GOR-ROJ-unico,1,11486.7,28716.74,,28716.74
77,2025-11-01 05:16:00,27632290,Shopping,Presencial,5,4,CHU-NEG-unico,1,13529.35,33823.38,,33823.38
77,2025-11-01 05:16:00,27632290,Shopping,Presencial,5,4,CAM-BEI-S,1,14680.23,30094.48,9.0,30094.48
